VPTREE,EUCLIDEANDISTANCE,CONVEX,4490,487934
k,time,count
5,3897846,4774
5,1338744,1912
5,10164677,11428
5,483138,639
5,748338,961
5,571954,961
5,661896,958
5,744174,957
5,4872670,6354
5,1065647,1274
5,1036323,1272
5,1021848,1273
5,12694836,16183
5,7935465,9530
5,759477,957
5,665848,958
5,532030,644
5,947799,1277
5,662273,958
5,5062319,6675
5,533473,644
5,684591,958
5,11322791,14273
5,7784995,9212
5,515831,644
5,710098,957
5,492559,641
5,659845,957
5,3823362,4770
5,685852,958
5,994197,1277
5,670657,960
5,992427,1277
5,1067261,1275
5,673755,957
5,996304,1271
5,672933,957
5,3464865,4138
5,11807859,14902
5,1917175,2234
5,2418563,3186
5,1013720,1276
5,656371,961
5,1419449,1915
5,8176641,9842
5,1031556,1275
5,501370,642
5,624594,958
5,254249,323
5,9957996,12704
5,515272,642
5,7777321,9211
5,2029447,2553
5,971940,1271
5,9111723,11115
5,2569817,3496
5,1172230,1589
5,479915,639
5,1989850,2553
5,1169552,1597
5,1137405,1601
5,8476154,10482
5,3468533,4140
5,12081329,15553
5,1221966,1595
5,7809117,9533
5,3930187,4775
5,1174684,1597
5,3584654,4462
5,2336781,2867
5,8708452,10474
5,665665,957
5,647660,959
5,933654,1276
5,940284,1276
5,1351804,1914
5,4348249,5408
5,968608,1276
5,613073,959
5,1057810,1272
5,4965594,6354
5,7497799,8903
5,669612,957
5,2808337,3822
5,1414001,1912
5,4294207,5411
5,2817258,3837
5,1960820,2546
5,2559262,3495
5,18216085,19663
5,4044021,4770
5,4053233,5087
5,1784902,2228
5,2615022,3512
5,1219587,1591
5,1796060,2236
5,707331,956
5,2502554,3190
5,2575663,3190
5,299119,322
5,1195295,1595
5,1997755,2546
5,982259,1276
5,4296390,5409
5,8139506,9523
5,4353764,5405
5,1220143,1601
5,14965614,16480
5,10639362,13330
5,569681,638
5,5185771,6365
5,1958150,2230
5,2081228,2537
5,1050112,1277
5,7767462,8890
5,1054258,1277
5,1861322,2223
5,2512929,3179
5,4219637,5410
5,2230251,2876
5,1548166,1915
5,3738950,4451
5,2827629,3500
5,12397450,15864
5,608995,638
5,4728378,5714
5,7275669,8264
5,18247547,21573
5,692123,641
5,4793825,6032
5,9637730,11425
5,1461882,1912
5,1077023,1277
5,714415,955
5,501067,641
5,5994318,7945
5,701828,958
5,649976,961
5,988410,1273
5,936591,1273
5,933696,1273
5,1447139,1906
5,499187,641
5,646617,957
5,2856651,3823
5,11061540,14278
5,2173620,2554
5,9028005,10787
5,4225708,4768
5,1057695,1277
5,691973,957
5,2684451,3506
5,695920,958
5,3752518,4450
5,1002682,1273
5,685847,957
5,2870017,3821
5,737332,957
5,1481582,1911
5,4742352,6049
5,4448841,5726
5,1816578,2227
5,685051,957
5,683258,961
5,1449510,1917
5,4197865,5098
5,7166339,8251
5,5653942,6980
5,713354,958
5,10114948,12390
5,12625846,16189
5,10769382,13647
5,1040192,1273
5,3990741,4763
5,1341112,1905
5,6091460,7937
5,7827102,9215
5,1082824,1277
5,1252871,1594
5,708246,958
5,10508186,13010
5,7885393,8898
5,2368471,2866
5,1310590,1596
5,11807820,14924
5,4189800,4768
5,10442498,13023
5,2356975,2869
5,3618877,4134
5,2088748,2544
5,4271131,5080
5,2314813,2861
5,1053262,1278
5,2258689,2861
5,694561,958
5,7356697,8267
5,2137018,2544
5,8770580,10168
5,1419561,1912
5,11826314,14918
5,1097404,1276
5,700080,958
5,1382449,1906
5,680309,958
5,2927716,3811
5,2096781,2559
5,680220,957
5,1211191,1591
5,2037529,2544
5,3560857,4135
5,2957732,3823
5,2053890,2540
5,2857323,3812
5,1408846,1919
5,1841596,2224
5,1761570,2230
5,7941638,9213
5,5542008,6996
5,713528,954
5,8715889,10166
5,3036285,3812
5,4447007,5396
5,2062992,2553
5,2299838,2861
5,487757,644
5,2541491,3189
5,2085338,2544
5,1192142,1588
5,273520,323
5,4192735,5093
5,4510100,5406
5,9137750,10791
5,1060571,1276
5,8105853,9532
5,5161182,6365
5,3944091,4462
5,9820600,11424
5,3069014,3820
5,2562666,3189
5,504135,639
5,2317181,2861
5,1014031,1280
5,699396,955
5,639197,955
5,1049412,1281
5,2481988,3177
5,3947758,4767
5,2754002,3505
5,2656253,3498
5,2014269,2545
5,8987572,10789
5,4142308,4779
5,3653580,4144
5,2355918,2866
5,742081,955
5,1289137,1590
5,1408202,1589
5,315814,322
5,1363787,1908
5,521715,638
5,2070717,2548
5,689262,958
5,4561486,5401
5,5839895,7303
5,1220764,1595
5,1204221,1588
5,1017014,1281
5,3595584,4138
5,1230834,1598
5,2684260,3507
5,4560911,5720
5,1039052,1279
5,2451969,3174
5,2887976,3812
5,7585843,8577
5,5206168,6355
5,1119803,1276
5,2903230,3808
5,9095513,10473
5,10037624,11750
5,1941706,2228
5,4444174,5406
5,2516196,3189
5,2445961,3189
5,1861940,2229
5,4674527,5728
5,8340879,9528
5,11364751,13971
5,715699,956
5,5090626,6041
5,10466654,12696
5,4655410,5413
5,710537,958
5,5483408,6672
5,716407,956
5,4274255,5083
5,9061173,10476
5,760561,956
5,1069138,1278
5,1267380,1589
5,529275,638
5,5754021,7303
5,7857247,8891
5,11254321,13644
5,4102191,4767
5,3850465,4446
5,2928265,3824
5,10407022,12693
5,5406385,6675
5,5014993,6043
5,733123,965
5,1058145,1277
5,685569,957
5,8606993,9845
5,1342796,1594
5,1051824,1276
5,15089446,16491
5,1223180,1279
5,9695396,11109
5,4582196,5395
5,1491121,1910
5,1918060,2224
5,1293762,1594
5,3629556,4139
5,2970986,3811
5,735094,960
5,1928138,2230
5,1075798,1273
5,6208309,7942
5,728523,956
5,4691310,5411
5,5829078,6994
5,3882282,4462
5,1336401,1596
5,4223114,4775
5,4099988,4778
5,15001951,16496
5,8194753,8894
5,3001624,3490
5,9478283,11104
5,3844039,4144
5,2374345,2862
5,17557020,19972
5,1235399,1273
5,1044409,1273
5,2581453,3190
5,1450190,1914
5,2935730,3817
5,768808,955
5,1501429,1913
5,548128,644
5,4419691,5096
5,3805040,4453
5,1285773,1592
5,4883776,6025
5,564594,644
5,1432596,1904
5,2360675,2875
5,2553063,3178
5,5017825,5724
5,2231443,2551
5,539961,640
5,1430059,1908
5,2189643,2551
5,1063556,1276
5,2626580,3496
5,735653,959
5,9323384,10802
5,5816631,6989
5,791534,959
5,1513950,1912
5,2055963,2541
5,530083,639
5,679170,957
5,3160055,3829
5,2620684,3175
5,773009,955
5,1167526,1276
5,6360597,7939
5,4635662,5420
5,1271386,1591
5,1418049,1913
5,1260600,1591
5,2150077,2550
5,11252745,13655
5,11488662,13643
5,2222774,2547
5,758829,955
5,1999586,2226
5,1281436,1591
5,1280364,1594
5,6054928,7624
5,754357,962
5,1057626,1276
5,1998004,2227
5,1465926,1908
5,1560931,1915
5,9009300,10155
5,2802836,3498
5,1338032,1588
5,2385716,2860
5,1067183,1276
5,2658591,3190
5,2819801,3505
5,1981159,2235
5,2818363,3495
5,1104627,1277
5,1212063,1592
5,1786062,2224
5,2059119,2546
5,2905291,3510
5,3099071,3821
5,1514787,1911
5,583463,640
5,481708,640
5,2002621,2232
5,12029077,14591
5,11322137,13649
5,5674583,6983
5,2694481,3175
5,1061676,1276
5,1023410,1276
5,4957233,6036
5,802250,959
5,2083125,2541
5,3947302,4454
5,8786578,9859
5,2409457,2863
5,6435555,7947
5,2516818,2870
5,4158693,4769
5,5312660,6680
5,2733680,3504
5,1934324,2230
5,8224789,9217
5,7553849,8579
5,2539318,2860
5,4732842,5732
5,4510759,5407
5,5942717,7624
5,9311337,10804
5,8165797,9210
5,1338118,1597
5,6021465,7632
5,5932881,7302
5,6413278,7946
5,6277668,7634
5,1151291,1275
5,9597467,11120
5,3845810,4134
5,7799161,8581
5,9960340,11430
5,12240676,14917
5,7928298,8902
5,2252002,2543
5,8043820,8889
5,6145612,7624
5,7706421,8570
5,3274332,3822
5,3912994,4457
5,6090405,7623
5,2174661,2549
5,2696399,3183
5,5598177,6988
5,2029361,2227
5,2211787,2537
5,4732853,5716
5,285696,322
5,246894,323
5,11020754,13325
5,7996047,8576
5,2812511,3184
5,533944,639
5,3970711,4457
5,5829697,7313
5,5475630,6356
