VPTREE,EUCLIDEANDISTANCE,GNAT,4490,492902
k,time,count
5,2399470,3188
5,694043,954
5,8299229,10144
5,528262,638
5,713817,958
5,218840,322
5,967918,1273
5,1165307,1592
5,5739790,7624
5,980892,1273
5,1155620,1591
5,445006,642
5,7739482,9518
5,3436755,4129
5,1190594,1591
5,658570,958
5,646443,961
5,1124080,1593
5,947247,1273
5,5282706,7307
5,676293,961
5,963532,1273
5,3588449,4443
5,4937977,6345
5,701930,961
5,938619,1275
5,244071,322
5,632181,961
5,979731,1274
5,970180,1273
5,641629,958
5,473134,643
5,1137520,1593
5,1351385,1913
5,697630,961
5,2648284,3822
5,673672,961
5,7538392,9194
5,5639634,7608
5,1133074,1592
5,3246060,4137
5,449782,643
5,410102,643
5,1960460,2544
5,8778676,11104
5,1363253,1915
5,685264,958
5,965595,1273
5,663807,955
5,7506047,8883
5,716874,958
5,5721819,7615
5,1819011,2542
5,648951,956
5,4515405,5717
5,1942928,2559
5,622839,956
5,719262,954
5,231497,322
5,642930,954
5,254596,322
5,4587183,6032
5,1328800,1913
5,10168091,13317
5,749936,958
5,6898781,8246
5,5080621,6663
5,745732,954
5,5121591,6989
5,3439738,4133
5,3619801,4444
5,1156201,1593
5,614448,958
5,449930,638
5,576533,958
5,1733822,2232
5,7299189,8565
5,646690,958
5,577223,958
5,970552,1276
5,2474641,3495
5,4749494,6348
5,683476,958
5,503275,639
5,1377301,1906
5,482946,639
5,4711050,6358
5,2228254,3175
5,3461165,4444
5,9908389,12674
5,7300715,8568
5,276731,322
5,2086851,2861
5,1148741,1588
5,646256,959
5,3370371,4134
5,1336449,1919
5,2266568,3177
5,1745478,2225
5,632127,957
5,1161283,1593
5,3749308,4764
5,1699227,2224
5,4213591,5398
5,5432295,7309
5,1881708,2547
5,634190,960
5,15722399,17431
5,8583993,10459
5,1128972,1592
5,5742599,7941
5,1251823,1908
5,3488277,4138
5,271265,323
5,7752458,9523
5,485037,639
5,2292250,2860
5,4823887,6037
5,4820801,6359
5,1369897,1905
5,664739,958
5,1810603,2228
5,7389570,8566
5,9137204,10776
5,1410076,1908
5,5727609,7617
5,8883287,11110
5,15462681,18072
5,854156,958
5,3457605,4136
5,3960745,4763
5,1392012,1908
5,249741,322
5,950741,1279
5,681953,958
5,3909191,4769
5,708594,958
5,218155,322
5,456482,642
5,1157289,1593
5,693055,961
5,503304,638
5,238256,322
5,971623,1278
5,1019951,1277
5,9874688,12370
5,1199146,1592
5,6157692,7924
5,4463053,5718
5,695429,958
5,247836,322
5,1167540,1590
5,469724,642
5,1809984,2227
5,1185147,1593
5,495157,638
5,991795,1273
5,482354,641
5,1020494,1278
5,5830823,7624
5,1189688,1592
5,1863156,2227
5,939211,1276
5,638804,958
5,928865,1272
5,5283910,6673
5,5017176,6674
5,9138476,11440
5,692858,957
5,14580353,16470
5,10120628,12688
5,9286529,11422
5,1067125,1276
5,2734969,3813
5,1454998,1908
5,4721242,6348
5,5354818,7297
5,1059550,1278
5,1343041,1910
5,464242,642
5,8571132,10146
5,4443438,5404
5,1048344,1272
5,3655785,4453
5,8892668,10471
5,4756052,6048
