VPTREE,EUCLIDEANDISTANCE,KMEDOIDS,4490,373043
k,time,count
5,2004650,2860
5,229625,322
5,1836132,2541
5,429385,638
5,1246815,1915
5,965454,1598
5,816360,1279
5,554532,962
5,1181163,1909
5,1148819,1915
5,1652024,2552
5,834567,1277
5,1966174,2863
5,1516943,2226
5,1060884,1597
5,216828,322
5,460690,640
5,1154902,1915
5,961786,1597
5,1881450,2867
5,218209,322
5,835702,1279
5,1696474,2547
5,4519828,6992
5,238796,322
5,1012573,1591
5,598943,961
5,425754,641
5,1208372,1913
5,1038534,1597
5,968890,1598
5,219412,322
5,1172448,1915
5,1951672,2870
5,224803,322
5,3338173,4777
5,582664,960
5,3313737,4769
5,8025169,12070
5,469453,640
5,1503207,2226
5,435031,642
5,427441,642
5,467906,643
5,5062251,7950
5,600925,961
5,1080423,1597
5,967062,1597
5,1515574,2229
5,2358124,3823
5,1016003,1598
5,1637832,2224
5,628838,960
5,620617,955
5,3532701,5094
5,1860032,2868
5,465477,638
5,461923,638
5,442911,643
5,401895,638
5,417382,643
5,3321022,4777
5,1772987,2543
5,4872743,7631
5,699673,955
5,2919959,4134
5,1902349,2870
5,231074,322
5,900516,1274
5,1023618,1600
5,4331088,6681
5,471944,640
5,422195,640
5,613094,955
5,228119,323
5,1200345,1912
5,2465129,3821
5,611381,955
5,449038,640
5,922238,1270
5,1578814,2224
5,2466031,3816
5,460682,640
5,247678,322
5,1040430,1590
5,1061482,1598
5,1053997,1591
5,1097490,1588
5,852298,1273
5,3153321,4127
5,2128868,3190
5,1186361,1916
5,886300,1280
5,913455,1275
5,248700,322
5,1166676,1589
5,619151,960
5,1246956,1916
5,987476,1593
5,1591741,2231
5,635304,955
5,2129915,3503
5,437294,640
5,1599421,2231
5,2966118,4127
5,3471179,5085
5,421961,638
5,4197960,6349
5,5970218,8265
5,874383,1277
5,2438926,3820
5,588941,958
5,597785,955
5,225326,323
5,3547012,5088
5,601699,956
5,599895,957
5,2832198,4131
5,2409045,3814
5,1184650,1908
5,241778,322
5,459084,638
5,1999431,2870
5,5066324,7947
5,854762,1278
5,3975727,6043
5,1093857,1591
5,6348649,8903
5,1169876,1598
5,2178840,3182
5,4552880,6997
5,2388002,3823
5,1059056,1598
5,599307,962
5,1016006,1598
5,1738813,2545
5,1194070,1915
5,1017570,1598
5,448174,643
5,974452,1597
5,427861,640
5,625773,957
5,425103,640
5,819032,1276
5,1096493,1593
5,4050174,6046
5,664312,960
5,4477683,6994
5,4238938,6367
5,1062454,1598
5,572875,960
5,944642,1275
5,588409,960
5,3294836,4769
5,861436,1276
5,1074683,1591
5,236438,322
5,438115,640
5,1089162,1597
5,643560,960
5,638442,960
5,1948322,2866
5,462380,640
5,992119,1598
5,490987,639
5,620772,960
5,2116481,3178
5,3755678,5401
5,583954,960
5,4619147,6988
5,3927704,5734
5,4425713,6351
5,489889,640
5,3472274,5089
5,1051145,1595
5,2203737,3177
5,3369611,4769
5,1115547,1598
5,1568256,2235
5,593807,960
5,4287322,6361
5,3071961,4139
5,1889333,2862
5,1838949,2548
5,3777921,5413
5,2484840,3818
5,3417436,4777
5,1832389,2550
5,2930080,4134
5,1128153,1591
5,3135029,4461
5,1061736,1591
5,603866,961
5,848799,1276
5,1102536,1598
5,1094074,1590
5,1560405,2229
5,1116469,1595
5,627800,962
5,3696499,5395
5,846759,1280
5,1109565,1597
5,1186715,1912
5,842163,1279
5,1705420,2221
5,673237,958
5,432027,640
5,218983,322
5,583018,955
5,1760840,2545
5,1598176,2232
5,912707,1272
5,602710,954
5,606258,958
5,457549,640
5,600847,956
5,1624297,2226
5,1796834,2551
5,648520,958
5,2091495,3185
5,1553813,2233
5,1601472,2230
5,670475,954
5,596222,956
5,212878,323
5,3285459,4451
5,463941,641
5,981525,1270
5,430030,639
5,3047551,4133
5,2190902,3498
5,3563788,5088
5,714675,955
5,888056,1274
5,421564,641
5,2085729,3183
5,4071962,6045
5,2275699,3500
5,1678108,2551
5,255895,322
5,1107123,1595
5,234749,322
5,624829,961
5,850644,1278
5,225176,322
5,1567727,2229
5,4924756,7629
5,1765216,2552
5,458622,638
5,632572,955
5,3978263,5713
5,1959684,2868
5,1983936,3184
5,1926550,2870
5,472308,643
5,614740,955
5,706736,955
5,452935,643
5,630480,962
5,619549,955
5,1295450,1918
5,607547,956
5,1103013,1596
5,1924990,2860
5,844706,1277
5,479347,638
5,462517,642
5,1060724,1595
5,658111,956
5,1628285,2232
5,2188047,3185
5,1035709,1595
5,939512,1270
5,1210888,1915
5,639895,958
5,1114523,1592
5,1840415,2549
5,624234,960
5,1566374,2227
5,1608138,2226
5,1259878,1915
5,1960973,2865
5,2532024,3832
5,1227631,1915
5,481083,640
5,3080644,4139
5,1947019,2864
5,2008483,2863
5,460243,642
5,1596065,2230
5,1070938,1594
5,1066359,1593
5,1142557,1597
5,3679322,5091
5,884531,1277
5,610314,960
5,1320229,1909
5,426368,642
5,493632,640
5,427194,642
5,643318,958
5,2327378,3500
5,2268182,3500
5,2206607,3498
5,3007759,4136
5,3915444,5730
5,472053,640
5,4471636,6671
5,2290820,3502
5,1510055,2230
5,221752,322
5,1119070,1598
5,1183357,1915
5,3300755,4454
5,245412,322
5,1068057,1591
5,3858853,5399
5,495000,638
5,1777534,2544
5,3562273,5088
5,3307467,4779
5,1071608,1593
5,252778,322
5,1299143,1910
5,1106932,1592
5,452386,640
5,621451,955
5,1184570,1913
5,2579559,3817
5,465100,642
5,992728,1594
5,2325526,3504
5,1109158,1589
5,1186995,1915
5,1516437,2236
5,1885197,2871
5,7529742,10490
5,3790379,5406
5,4255367,6366
5,7667778,11119
5,673216,961
5,1309702,1910
5,9573722,14608
5,937729,1276
5,257760,322
5,469561,639
5,246653,323
5,1718457,2235
5,651962,960
5,943291,1277
5,220573,322
5,1154976,1589
5,1111927,1589
5,503084,638
5,1783957,2547
5,235412,322
5,227018,322
5,1082460,1593
5,1281169,1912
5,3335611,4447
5,958221,1275
5,494954,640
5,493142,640
5,439739,643
5,588474,955
5,1098095,1592
5,233957,322
5,1137689,1595
5,2001578,2860
5,246557,322
5,483343,640
5,534091,638
5,225372,322
5,471073,640
5,1106662,1593
5,926455,1275
5,1863117,2551
5,239957,322
5,2305796,3498
5,1154389,1589
5,500973,640
5,1648063,2232
5,1100153,1592
5,1814747,2550
5,3414390,4444
5,3304998,4448
5,468928,641
5,1938350,2868
5,447143,641
5,674106,957
5,429643,641
5,2464668,3809
5,498565,638
5,449732,640
5,1222338,1918
5,867444,1279
5,705476,958
5,3210997,4446
5,1259313,1911
5,501560,639
5,445800,641
5,463610,640
5,1064101,1599
5,866693,1276
5,1220941,1919
5,665230,962
5,1680604,2228
5,504334,638
5,223545,322
5,485588,640
5,488310,643
5,1788925,2548
5,496554,639
5,647104,959
5,588778,959
5,466498,642
5,6885637,8899
5,4984706,7628
5,2438524,3816
5,4456104,6683
5,685056,955
5,467374,638
5,3102672,4135
5,255657,322
5,461893,638
5,1270242,1917
5,1152288,1594
5,3764861,5409
5,1124694,1590
5,3120640,4138
5,3743997,5411
5,1310352,1910
5,495145,638
5,1636187,2231
5,1330460,1904
5,1967144,2864
5,2170102,3185
5,1306134,1908
5,255238,322
5,1268555,1915
5,2498752,3488
5,4606593,6673
5,926122,1277
5,2424059,3500
5,1611106,2231
5,1164325,1588
5,916260,1278
5,1648590,2233
5,946733,1275
5,614033,957
5,1338086,1905
5,4010495,5732
5,3369536,4457
5,1145736,1589
5,1301176,1911
5,3062418,4138
5,2575356,3815
5,2418568,3814
5,2021038,2871
5,2276580,3506
5,4766006,6987
5,266960,322
5,1102264,1597
5,2685323,3817
5,1327020,1903
5,897364,1270
5,1041846,1589
5,659418,959
5,1070361,1593
5,7024611,10170
5,3656387,5099
5,1641216,2226
5,255925,322
5,1155758,1590
5,1229978,1907
5,1904758,2547
5,1905981,2545
5,255181,323
5,468597,638
5,2008517,2865
5,668640,960
5,2335567,3504
5,4669365,6987
5,1115148,1592
5,1061270,1597
5,628909,961
5,431931,638
5,3945388,5724
5,1071137,1597
5,628821,958
5,7415722,10483
5,1083781,1597
5,672430,961
5,435565,645
5,1024865,1597
5,2029020,2872
5,879522,1281
5,618708,961
5,837745,1278
5,966288,1270
5,246547,322
5,589987,959
5,583770,959
5,582782,959
5,1339306,1912
5,3671473,5079
5,1106629,1592
5,1803117,2558
5,455456,638
5,3133165,4136
5,4220532,6361
5,1274535,1913
5,1680403,1912
5,4196301,5718
5,1101578,1597
5,843310,1278
5,1695117,2230
5,941344,1276
5,6416773,8581
5,2043778,2864
5,245244,322
5,7144273,9528
5,10040090,14921
5,976493,1276
5,1252327,1914
5,469644,643
5,1086678,1593
5,7277435,9848
5,1080539,1597
5,1573647,2229
5,464271,643
5,457865,638
5,461303,638
5,1046172,1597
5,911914,1277
5,615151,960
5,481937,638
5,652514,959
5,472852,640
5,1346996,1907
5,436170,643
5,468354,640
5,239265,323
5,251293,322
5,881585,1277
5,623608,957
5,653530,956
5,436888,640
5,446793,643
5,461941,640
5,231757,323
5,239800,322
5,441187,638
5,490510,638
5,515570,640
5,617894,957
5,247822,322
5,224172,323
5,609230,960
5,234187,322
5,421760,640
5,488497,639
5,633185,961
5,239992,322
5,450381,638
5,231659,322
5,426858,638
5,426592,638
5,233128,322
5,421534,638
5,232315,323
5,2598187,3821
5,236429,322
5,427982,640
5,251338,322
5,220408,322
5,4812335,7322
5,879291,1275
5,492408,640
5,256583,322
5,231521,322
5,457799,638
5,422354,638
5,232247,322
5,219016,323
5,423491,638
5,232994,322
5,217808,322
5,870153,1272
5,831325,1272
5,2001970,2866
5,628806,957
5,433473,640
5,595711,959
5,1797985,2549
5,1010613,1591
5,1189216,1908
5,850686,1274
5,470032,638
5,235280,322
5,577551,957
5,881332,1274
5,2561576,3821
5,601260,961
5,497727,638
5,1061670,1591
5,1045162,1591
5,422735,638
5,1151837,1595
5,421338,638
5,476927,638
5,646808,954
5,1148647,1593
5,619640,955
5,1137458,1593
5,222756,322
5,218147,322
5,455879,638
5,232417,322
5,1053893,1593
5,1287140,1913
5,253989,322
5,621579,956
5,451672,638
