VPTREE,EUCLIDEANDISTANCE,MAXSEPARETED,4490,775
k,time,count
5,2145767,2536
5,531947,641
5,5929015,7623
5,720695,955
5,564660,639
5,224163,322
5,247241,322
5,1215959,1588
5,5971979,7612
5,531127,639
5,659112,956
5,662277,955
5,12535740,15866
5,1269368,1588
5,691433,956
5,985438,1270
5,501128,638
5,450662,638
5,279797,322
5,9001213,11117
5,505344,638
5,285571,322
5,12822502,16182
5,4246237,5077
5,704284,955
5,1390150,1907
5,510145,639
5,958506,1270
5,1241946,1588
5,512455,639
5,634941,955
5,493217,638
5,982998,1270
5,2057814,2550
5,730068,955
5,1176524,1595
5,1052886,1270
5,2651444,3498
5,20237945,22507
5,562752,638
5,2298130,2863
5,496528,639
5,668386,956
5,714011,957
5,4548963,5718
5,1162384,1590
5,525019,639
5,453282,639
5,1191083,1593
5,2251931,2858
5,520821,639
5,4990873,6357
5,1978450,2220
5,494586,639
5,5983057,7941
5,1367983,1912
5,690064,958
5,500336,643
5,984945,1280
5,961844,1278
5,681952,963
5,5780320,7623
5,4308669,5410
5,5105912,6347
5,1943121,2223
5,8413104,10157
5,2677817,3499
5,1205967,1598
5,3430101,4132
5,2620608,3503
5,8684747,10165
5,1411792,1907
5,683881,957
5,947545,1273
5,639244,957
5,1984223,2545
5,5088904,6360
5,1368911,1907
5,670850,957
5,2516748,3172
5,7227623,8270
5,5239894,6667
5,694422,957
5,1062051,1280
5,2668372,3504
5,1865748,2228
5,3609765,4448
5,2057263,2546
5,2390709,3182
5,7473500,8235
5,5886202,7309
5,1294477,1597
5,1869758,2232
5,2885171,3816
5,703013,958
5,2299227,2866
5,686428,956
5,1950796,2224
5,2362667,2856
5,553313,640
5,2295047,2862
5,2219145,2861
5,2646237,3496
5,4170766,5084
5,5945283,7629
5,5135673,6354
5,1467081,1910
5,19085249,21881
5,11432420,14290
5,1084886,1278
5,2094558,2545
5,1461249,1910
5,2516162,3180
5,262207,323
5,4520700,5395
5,1871313,2232
5,1860345,2229
5,1261342,1592
5,3710573,4451
5,2438892,3183
5,753587,954
5,1968347,2230
5,5395263,6675
5,12561018,15549
5,525730,643
5,4216587,4762
5,7519260,8575
5,17597987,20308
5,892557,955
5,2818538,3487
5,8667516,9838
5,1440213,1903
5,277287,323
5,2415669,3178
5,700278,955
5,736319,956
5,517106,639
5,463375,639
5,503074,638
5,463122,638
5,476727,638
5,1305352,1595
5,268823,323
5,995669,1270
5,1256023,1589
5,8690812,10461
5,1329187,1593
5,16925305,19033
5,4579562,5399
5,281641,322
5,668842,955
5,1293064,1588
5,501569,638
5,1344360,1907
5,266343,322
5,750423,961
5,1260855,1597
5,1035717,1270
5,1247040,1592
5,8139817,9209
5,1920455,2232
5,1198337,1591
5,267824,322
5,261718,322
5,1951837,2227
5,5930252,7624
5,9546183,11436
5,3550270,4122
5,512561,638
5,12071538,15230
5,3047374,3807
5,6303026,7932
5,287363,322
5,4605596,5710
5,2427535,3183
5,8801965,10492
5,12212373,15237
5,546609,638
5,484050,638
5,477359,638
5,4368464,5078
5,6356327,7940
5,1366121,1597
5,3538838,4134
5,2367007,2855
5,2061484,2539
5,3053256,3803
5,529046,638
5,1854347,2223
5,2271642,2867
5,3611789,4134
5,2097108,2546
5,2506385,3178
5,2486116,3178
5,275002,322
5,7300554,8260
5,3065862,3817
5,7549649,8576
5,3017566,3812
5,12263580,15555
5,2760683,3501
5,284336,322
5,524622,638
5,267223,322
5,2932106,3816
5,2110776,2550
5,1851271,2225
5,1200458,1596
5,3746051,4455
