VPTREE,EUCLIDEANDISTANCE,MAXVARIANCE,4490,224311
k,time,count
5,1269269,1912
5,993542,1595
5,1729150,2228
5,456761,641
5,256365,322
5,210330,322
5,420712,638
5,662496,963
5,876214,1273
5,214287,323
5,1965275,2869
5,632299,959
5,2995568,4140
5,2463313,3814
5,452475,643
5,444143,643
5,870855,1274
5,573096,959
5,229937,322
5,3311050,4773
5,591108,959
5,445419,638
5,7915850,11123
5,7531843,10482
5,467075,639
5,621784,957
5,257181,322
5,862258,1275
5,2203356,3182
5,241731,322
5,412152,643
5,444886,639
5,872534,1275
5,1943966,2864
5,865833,1275
5,893846,1281
5,855864,1275
5,1871909,2543
5,10719788,16192
5,472528,641
5,608760,958
5,266017,322
5,439333,642
5,260671,322
5,3680048,5082
5,894764,1276
5,240171,322
5,219430,322
5,225035,322
5,3057362,4131
5,239574,322
5,1313026,1911
5,939785,1275
5,241568,322
5,5210284,7945
5,612846,956
5,260147,322
5,442641,641
5,1642292,2227
5,1026271,1596
5,1010895,1589
5,4086541,6043
5,612567,964
5,7244424,10169
5,709432,955
5,4172803,6363
5,2974456,4136
5,1046196,1596
5,2249305,3182
5,2465819,3821
5,3911743,5725
5,480955,639
5,234081,323
5,221091,322
5,440607,639
5,1829496,2547
5,3988702,5729
5,251659,322
5,448592,639
5,970925,1270
5,1236085,1909
5,1079571,1595
5,471051,639
5,1635500,2228
5,873353,1273
5,2095254,3182
5,3135450,4129
5,1305833,1906
5,420575,638
5,3403866,4445
5,3054032,4135
5,2269812,3499
5,460604,641
5,1926139,2543
5,668154,954
5,660801,958
5,462573,642
5,1318920,1909
5,1132847,1909
5,452143,638
5,659305,955
5,1086142,1592
5,434805,639
5,2069516,2869
5,884113,1272
5,3531627,5094
5,468839,638
5,7409578,10483
5,6253518,8589
5,472749,642
5,1924594,2542
5,622834,958
5,965123,1274
5,436415,639
5,3600290,5085
5,650256,957
5,1813508,2551
5,2122346,3181
5,2298001,3505
5,1781740,2550
5,238906,322
5,461030,639
5,3103188,4135
5,7145365,9851
5,245766,323
5,3581376,4773
5,3881324,5401
5,7368163,10172
5,330286,322
5,917784,1275
5,4759358,6999
5,1789512,2550
5,449413,644
5,1776044,2553
5,442560,643
5,1996659,2865
5,234498,322
5,219380,322
5,1068121,1594
5,582457,959
5,590968,959
5,1679644,2233
5,436289,643
5,894924,1275
5,643424,960
5,6404339,8578
5,662831,958
5,8201363,11750
5,1894547,2543
5,449962,638
5,600172,959
5,643451,960
5,432735,644
5,1103494,1590
5,1019805,1590
5,1701274,2233
5,249069,322
5,475151,643
5,1146079,1593
5,3880708,5405
5,502366,642
5,654091,959
5,432017,638
5,256539,322
5,481185,638
5,2231935,3182
5,1973713,2865
5,4001224,5729
5,468659,644
5,3737093,5405
5,5188727,7947
5,3635038,5087
5,473686,638
5,2100662,3190
5,894528,1280
5,1114184,1591
5,2452852,3816
5,650649,959
5,640448,959
5,435335,644
5,4270863,6044
5,4477061,6684
5,1806389,2548
5,947700,1277
5,6678536,8893
5,957187,1275
5,4197992,6051
5,928142,1279
5,1630534,2228
5,659982,958
5,1639178,2224
5,600248,958
5,603694,955
5,438994,638
5,265992,322
5,1709470,2225
5,924658,1274
5,892218,1275
5,1091040,1594
5,3235633,4450
5,888732,1278
5,247710,322
5,1279321,1909
5,222268,322
5,1328425,1906
5,667919,958
5,439994,639
5,657275,954
5,874732,1271
5,1077943,1595
5,1238340,1913
5,611382,955
5,669340,955
5,913316,1276
5,222099,323
5,444218,638
5,2232612,3188
5,1691323,2225
5,1087157,1605
