VPTREE,EUCLIDEANDISTANCE,PCA,4490,81446
k,time,count
5,1753694,2543
5,993927,1593
5,1859098,2546
5,417478,640
5,975062,1276
5,576279,960
5,444584,643
5,1749204,2544
5,1580141,2226
5,914455,1276
5,1576985,2230
5,590543,957
5,4918246,7631
5,1968563,2861
5,1624915,2230
5,590615,955
5,483675,640
5,1191564,1912
5,403083,640
5,2461308,3820
5,476255,640
5,477655,643
5,5146066,7953
5,5060887,7947
5,449512,640
5,623744,957
5,474653,643
5,420665,638
5,1044854,1593
5,451536,643
5,857580,1276
5,420184,640
5,861137,1276
5,464471,642
5,419576,638
5,633341,957
5,577301,955
5,2132684,3183
5,3953277,5721
5,253347,322
5,629332,959
5,624646,959
5,415329,643
5,1224439,1918
5,4408201,6672
5,892882,1277
5,645693,960
5,582044,960
5,642152,959
5,4274425,6357
5,884265,1276
5,1859332,2546
5,635737,964
5,420946,638
5,3550239,5088
5,1555722,2225
5,437165,638
5,423511,640
5,252758,323
5,1001757,1591
5,219374,323
5,3107008,4450
5,1243375,1915
5,6624520,9213
5,722422,955
5,4092161,6039
5,1795613,2552
5,879625,1275
5,1999436,2870
5,1887891,2861
5,2443428,3819
5,650796,958
5,219201,323
5,485739,638
5,427037,640
5,1058298,1594
5,2304912,3504
5,491458,638
5,243374,323
5,909816,1273
5,1772626,2542
5,2332320,3493
5,929961,1274
5,884766,1275
5,1004486,1591
5,1744825,2545
5,2131866,3189
5,927838,1272
5,933981,1274
5,4193129,6025
5,1989862,2862
5,626726,959
5,459257,641
5,1267301,1913
5,256515,322
5,1120085,1595
5,445686,640
5,2573390,3812
5,2373401,3812
5,945325,1277
5,668161,955
5,2459107,3811
5,639340,955
5,1933451,2866
5,1220169,1911
5,3534676,5092
5,237339,323
5,7582773,11119
5,4496616,6676
5,648301,955
5,1851788,2547
5,863395,1277
5,912422,1279
5,461947,640
5,5288655,7944
5,482559,641
5,2038235,2864
5,2091928,3179
5,3564708,5085
5,1042913,1594
5,2085765,2862
5,679312,955
5,1871556,2546
5,4774462,7307
5,608161,962
5,4165860,6036
5,3579465,5094
5,6644179,9215
5,1001694,1276
5,1078681,1592
5,6087791,8272
5,1976222,2867
5,1088410,1595
5,2248134,3499
5,942542,1276
5,1970959,2861
5,939242,1276
5,854057,1276
5,615272,959
5,586575,955
5,423841,638
5,1696227,2230
5,439914,638
5,427218,638
5,635176,959
5,4164762,6043
5,475869,639
5,8238779,12072
5,2078273,2863
5,457358,643
5,448266,638
5,625380,960
5,905798,1274
5,2155172,3183
5,443430,640
5,1269309,1915
5,451081,638
5,452428,638
5,1636165,2232
5,1949888,2871
5,928792,1272
5,1600749,2233
5,616559,959
5,663611,960
5,945318,1276
5,1825453,2555
5,2144733,3175
5,3831917,5410
5,598133,959
5,3512991,5083
5,3956448,5725
5,4691593,7309
5,675138,959
5,4189801,6035
5,874714,1276
5,2069027,2862
5,3251120,4445
5,1313331,1912
5,1603222,2231
5,590912,959
5,4139210,6038
5,3756722,5407
5,2176395,3185
5,941739,1273
5,4043095,5727
5,2071560,2866
5,1673288,2230
5,1653553,2231
5,1761559,2548
5,1270937,1916
5,2264815,3501
5,1222557,1916
5,1565429,2228
5,1735717,2548
5,683508,960
5,1870964,2547
5,2120022,3183
5,1112063,1592
5,2316917,3503
5,3764014,5080
5,652784,961
5,680154,960
5,690794,959
5,226689,323
5,1387906,1905
5,494341,640
5,221842,323
5,857864,1271
5,636553,956
5,1609407,2227
5,634713,963
5,974352,1270
5,598323,954
5,462290,642
5,482581,640
5,901292,1273
5,2530451,3816
5,864964,1275
5,2033439,2864
5,4473741,6683
5,242786,323
5,1102500,1592
5,1121038,1597
5,448719,640
5,219663,323
5,1878548,2552
5,629851,955
5,495170,638
5,248311,322
5,3875389,5407
5,1074552,1598
5,4666655,6992
5,512288,638
5,3805481,5414
5,3233817,4455
5,1230608,1910
5,4606750,6992
5,1791398,2553
5,887411,1277
5,264883,322
5,668550,955
5,454138,638
5,1673562,2228
5,1931203,2867
5,464844,640
5,664553,956
5,4465934,6674
5,1962174,2870
5,894383,1271
5,481093,639
5,3585484,5082
5,1643501,2231
5,852534,1279
5,1989415,2870
5,1114597,1594
5,1066458,1598
5,1241582,1595
5,491839,638
5,1057403,1589
5,631523,954
5,480787,640
5,481446,641
5,1240807,1911
5,1622755,2226
5,674629,957
5,254471,322
5,635134,958
5,638991,955
5,664242,955
5,1147316,1590
5,1211446,1908
5,460566,638
5,975867,1270
5,238406,322
5,1297732,1909
5,2213970,3185
5,623430,960
5,919991,1275
5,876781,1275
5,1348241,1904
5,451347,641
5,473096,638
5,2043096,2863
5,902392,1275
5,1148063,1589
5,2409449,3502
5,1323199,1909
5,1314506,1904
5,952293,1277
5,926426,1279
