VPTREE,EUCLIDEANDISTANCE,0x555976deadb0,4490,94836
k,time,count
5,268909,320
5,278618,321
5,281218,322
5,246777,321
5,251713,320
5,214259,320
5,221003,320
5,235763,321
5,259653,323
5,248139,321
5,276469,321
5,237481,321
5,254553,322
5,267393,320
5,232978,321
5,233289,321
5,231284,321
5,249239,321
5,215363,321
5,250412,322
5,232180,321
5,236472,320
5,255625,320
5,257201,322
5,226876,321
5,234468,320
5,245394,321
5,221503,321
5,259879,320
5,232783,321
5,232838,320
5,239102,321
5,272934,321
5,237383,322
5,215495,321
5,249527,320
5,214201,321
5,250595,321
5,238287,321
5,236624,322
5,235703,322
5,225224,320
5,209381,320
5,255940,320
5,229285,320
5,253362,319
5,244043,321
5,208885,321
5,242066,320
5,251618,320
5,223752,321
5,259703,321
5,239109,321
5,236064,319
5,244773,321
5,244985,322
5,215334,319
5,235574,321
5,244765,320
5,226948,320
5,241874,321
5,242680,322
5,237893,322
5,233543,321
5,314712,319
5,256856,322
5,244348,321
5,247904,320
5,227455,322
5,242560,321
5,230775,321
5,236797,320
5,232507,320
5,271391,321
5,223818,320
5,256320,319
5,254985,319
5,256810,321
5,229536,320
5,242425,321
5,249899,320
5,251980,325
5,226149,320
5,255117,320
5,229414,321
5,260476,320
5,241958,320
5,268223,319
5,231946,320
5,243567,322
5,244381,321
5,243989,320
5,239468,320
5,228945,322
5,238048,320
5,235930,320
5,242477,320
5,219303,320
5,204099,320
5,240976,320
5,262389,321
5,240488,322
5,214881,321
5,224989,322
5,226918,325
5,233543,320
5,224487,321
5,237577,320
5,232022,321
5,224278,322
5,232688,320
5,233117,321
5,251907,321
5,216767,320
5,218341,322
5,217968,322
5,216426,321
5,216922,321
5,237608,320
5,228798,321
5,220441,322
5,241274,321
5,254432,319
5,206409,319
5,244586,321
5,223466,321
5,224556,321
5,217964,322
5,330010,320
5,274977,321
5,243852,321
5,270429,320
5,243345,320
5,258231,322
5,253237,320
5,272141,320
5,259738,321
5,218451,321
5,234991,321
5,216149,321
5,220214,321
5,242802,321
5,228488,321
5,231348,321
5,256142,321
5,252511,322
5,242329,322
5,244267,320
5,263325,319
5,235976,320
5,212156,320
5,243762,321
5,253634,321
5,249857,321
5,215386,321
5,237243,321
5,251054,322
5,226122,321
5,237854,322
5,255116,322
5,229922,322
5,239353,321
5,223919,321
5,229037,320
5,234388,322
5,234897,320
5,246601,319
5,222427,320
5,235594,321
5,248876,322
5,212022,322
5,241308,321
5,227131,321
5,230797,321
5,230230,322
5,240265,321
5,235952,322
5,221216,321
5,217812,320
5,206477,321
5,248313,320
5,252686,319
5,225177,321
5,223305,320
5,234967,322
5,215823,320
5,228199,322
5,202936,320
5,202763,320
5,245526,320
5,239392,322
5,206985,320
5,208431,322
5,200272,322
5,258068,321
5,239280,320
5,225581,322
5,242193,321
5,225041,322
5,223361,320
5,205645,320
5,231382,321
5,218901,321
5,203942,321
5,255460,321
5,246609,320
5,229175,320
5,224630,320
5,225262,322
5,228369,320
5,235523,319
5,243393,321
5,247320,319
5,217835,321
5,217208,321
5,222525,320
5,232451,320
5,243141,320
5,228760,321
5,224830,321
5,221122,320
5,218415,321
5,222370,320
5,235789,320
5,204426,321
5,238336,321
5,227483,320
5,239919,322
5,203494,322
5,224752,320
5,200739,320
5,236738,320
5,253959,321
5,222673,321
5,200511,321
5,219767,320
5,228335,320
5,226633,320
5,201850,320
5,260997,319
5,227820,320
5,202387,320
5,232132,322
5,204997,322
5,216713,321
5,232668,322
5,234029,320
5,224077,320
5,234576,322
5,221559,320
5,237339,320
5,218729,322
5,201615,322
5,245820,319
5,247693,321
5,224899,321
5,409403,321
5,271497,321
5,248863,322
5,237743,322
5,263644,320
5,231677,320
5,244506,322
5,247470,322
5,258277,320
5,245978,320
5,239121,321
5,271856,320
5,280144,319
5,252104,322
5,247913,321
5,240723,321
5,267084,321
5,253229,321
5,261631,322
5,252004,320
5,238630,320
5,269107,322
5,269913,320
5,267559,322
5,256977,321
5,251308,321
5,246655,321
5,245209,322
5,241810,320
5,233674,320
5,222766,322
5,245023,321
5,253606,320
5,252752,322
5,265336,322
5,267385,320
5,249632,321
5,245326,322
5,245703,320
5,243887,321
5,256954,322
5,215390,321
5,268099,321
5,246848,320
5,229139,322
5,266623,320
5,252864,320
5,253333,319
5,240308,320
5,251720,322
5,249085,321
5,256064,320
5,213489,321
5,241901,319
5,229667,321
5,238874,320
5,245088,321
5,257599,320
5,234889,321
5,244119,321
5,272268,320
5,244139,319
5,244867,322
5,231488,320
5,241946,320
5,225925,320
5,225774,321
5,242181,321
5,245900,322
5,215767,321
5,231657,320
5,242951,321
5,241262,321
5,239005,320
5,207656,321
5,223453,322
5,226495,322
5,206876,322
5,206924,322
5,205179,322
5,232064,320
5,258353,319
5,207723,319
5,216689,320
5,229701,321
5,255438,321
5,236269,319
5,240508,320
5,235801,322
5,216619,322
5,248317,320
5,224496,320
5,218517,320
5,236407,320
5,204981,320
5,225938,320
5,252122,321
5,250234,319
5,216422,320
5,209534,320
5,230807,322
5,200991,320
5,246336,320
5,225817,321
5,228347,321
5,222215,320
5,256447,321
5,213419,320
5,212862,321
5,230785,321
5,206091,320
5,231878,322
5,232417,320
5,206190,320
5,223203,320
5,255106,319
5,235604,322
5,225131,320
5,229355,321
5,227241,321
5,248070,319
5,212874,320
5,217399,320
5,238954,320
5,221401,320
5,225532,322
5,228603,322
5,226337,320
5,223335,321
5,229943,320
5,226071,320
5,232958,320
5,223644,321
5,224630,320
5,207040,321
5,218373,322
5,218816,322
5,209149,320
5,219099,320
5,223193,322
5,211506,320
5,218474,322
5,230212,321
5,239526,322
5,219582,322
5,267991,321
5,228331,322
5,220939,321
5,224512,320
5,226459,320
5,228074,320
5,251777,319
5,206837,319
5,217246,320
5,228690,321
5,217728,322
5,242036,320
5,228718,322
5,250691,321
5,214911,322
5,226018,322
5,221645,321
5,220101,322
5,220396,320
5,251246,321
5,249272,319
5,224632,322
5,216246,322
5,221463,320
5,244529,320
5,233329,321
5,219951,320
5,223846,321
5,216196,320
5,198371,320
5,228830,322
5,220484,319
5,245288,320
5,234675,321
5,225424,320
5,214584,321
5,245994,321
5,229365,321
5,235930,321
5,241030,322
5,218474,320
5,213772,319
5,224206,321
5,258677,320
5,235368,320
5,234430,320
5,236842,321
5,231777,322
5,243504,319
5,205156,322
5,229335,320
5,224524,322
5,244857,320
5,228281,321
5,226671,320
5,225512,321
5,223520,322
5,224743,322
5,232084,321
5,236653,322
5,215968,320
5,243153,319
5,225224,322
5,235978,320
5,226725,321
5,199578,321
5,223842,322
5,212431,320
5,214125,321
5,216342,322
5,225817,322
5,222234,319
5,238043,319
5,247694,321
5,236964,322
5,216938,319
5,229286,320
5,222719,321
5,219276,320
5,231769,322
5,205715,322
5,236577,321
5,218030,322
5,227581,322
5,199541,322
5,207182,321
5,219773,320
5,215410,322
5,211533,322
5,219197,322
5,207382,322
5,246206,321
5,203834,321
5,206773,322
5,236809,320
5,206372,322
5,240392,321
5,209374,322
5,232136,320
5,247520,320
5,212926,322
5,206455,322
5,204686,322
5,237018,320
5,223781,322
5,219458,322
5,251898,321
5,234180,321
5,219161,320
5,241932,319
5,211813,321
5,635703,320
5,256607,322
5,247910,322
5,224793,322
5,256888,320
5,258936,320
5,241198,320
5,254401,321
5,237228,321
5,260362,321
5,258903,320
5,253417,320
5,240938,322
5,270521,321
5,264570,321
5,264931,319
5,241483,322
5,237215,322
5,239075,322
5,234125,321
5,261197,321
5,244271,322
5,248205,322
5,233006,321
5,241002,321
5,238131,322
5,245954,321
5,253775,322
5,253885,319
5,251080,320
5,258692,321
5,251285,322
5,252289,319
5,238425,321
5,238437,321
5,251398,321
5,241901,319
5,231956,321
5,241099,320
5,216174,320
5,255037,319
5,247157,319
5,261571,320
5,237995,321
5,239173,320
5,250971,319
5,217200,319
5,219169,320
5,232609,321
5,247736,322
5,229163,321
5,228836,320
5,225051,321
5,250084,319
5,242657,322
5,221822,319
5,215742,319
5,218458,322
5,230169,322
5,253534,320
5,231539,319
5,231779,321
5,214262,319
5,213072,319
5,247064,320
5,226587,321
5,251120,322
5,235384,319
5,238377,322
5,222578,321
5,213359,319
5,211280,319
5,230250,322
5,217507,319
5,209841,319
5,209608,319
5,213512,322
5,210329,322
5,240801,320
5,230027,322
5,227289,321
5,228934,320
5,232305,320
5,212353,321
5,211897,321
5,208888,321
5,229119,322
5,244319,319
5,232357,320
5,222218,321
5,222640,322
5,223936,321
5,242479,320
5,220899,321
5,224853,320
5,205282,320
5,246667,322
5,254135,319
5,238908,320
5,220875,322
5,236928,321
5,213358,320
5,233389,321
5,233089,320
5,206982,320
5,223372,322
5,240661,319
5,232952,321
5,222866,319
5,222870,320
5,228505,321
5,234233,319
5,206262,319
5,207437,319
5,237373,322
5,241010,320
5,220382,319
5,229333,320
5,233488,319
5,247800,319
5,215547,320
5,240145,320
5,221520,320
5,222894,320
5,229389,321
5,244504,321
5,228890,321
5,219622,321
5,227540,320
5,226665,320
5,225950,321
5,221802,322
5,233934,319
5,218746,321
5,243672,320
5,235515,322
5,206581,322
5,241162,321
5,225099,322
5,216799,322
5,241645,321
5,227078,320
5,246198,319
5,237271,321
5,204752,321
5,242982,319
5,229717,322
5,227275,322
5,247226,321
5,227780,320
5,221540,320
5,233400,322
5,224999,322
5,228676,320
5,232445,321
5,228307,321
5,224063,322
5,237860,320
5,239558,321
5,230887,320
5,239175,321
5,226052,322
5,229446,319
5,237327,319
5,222336,321
5,215941,322
5,242375,321
5,223646,320
5,207541,321
5,228420,320
5,222834,321
5,257249,321
5,227705,319
5,213479,322
5,223592,321
5,218117,321
5,220667,322
5,226895,320
5,228297,320
5,203144,320
5,211271,322
5,215889,322
5,219418,321
5,262867,319
5,226411,320
5,216817,322
5,229091,320
5,236494,320
5,217421,322
5,219247,322
5,217696,322
5,243894,320
5,222401,321
5,211567,320
5,202910,321
5,245715,321
5,228183,320
5,231745,320
5,216852,320
5,218299,322
5,217718,321
5,240089,319
5,203915,319
5,223426,322
5,221929,320
5,231248,320
5,221921,320
5,218439,320
5,223165,321
5,219828,320
5,226260,321
5,223686,319
5,225290,321
5,215836,321
5,236727,320
5,242134,321
5,227601,320
5,217964,321
5,226615,321
5,210284,322
5,227064,321
5,227926,319
5,239376,322
5,222116,321
5,241527,321
5,228067,320
5,241752,320
5,229927,321
5,223824,321
5,222368,319
5,222525,321
5,240098,321
5,228880,322
5,225073,320
5,235484,322
5,234977,320
5,223606,320
5,221412,321
5,240408,321
5,225429,321
5,228694,320
5,228373,321
5,248204,320
5,214638,320
5,228670,322
5,239903,320
5,217134,320
5,223516,321
5,224375,321
5,230973,320
5,225962,321
5,205540,320
5,231629,322
5,221350,320
5,203618,322
5,204151,322
5,208167,322
5,228235,320
5,219528,320
5,238750,321
5,226521,321
5,236108,320
5,227338,319
5,233822,322
5,202070,319
5,218341,322
5,201526,319
5,202824,319
5,218467,321
5,251377,321
5,215392,320
5,219576,320
5,233802,320
5,218609,320
5,237245,321
5,223702,319
5,221857,322
5,220459,321
5,201755,319
5,242445,320
5,247646,319
5,226691,321
5,219740,322
5,221482,320
5,213854,320
5,214047,321
5,207513,322
5,221905,321
5,201230,321
5,213315,321
5,208004,322
5,203375,322
5,227078,322
5,235600,320
5,248209,321
5,214271,322
5,205352,321
5,214846,319
5,217144,322
5,218177,322
5,222565,319
5,200546,319
5,199739,319
5,218927,322
5,201100,322
5,218211,319
5,235927,321
5,229306,321
5,214616,321
5,208126,320
5,221721,319
5,199984,319
5,200841,319
5,217749,319
5,219246,322
5,221663,322
5,202884,322
5,252511,320
5,242846,321
5,219536,319
5,201853,319
5,200072,319
5,200051,319
5,227295,321
5,212337,320
5,198929,320
5,224644,321
5,217050,319
5,201006,319
5,225344,321
5,213808,322
