VPTREE,EUCLIDEANDISTANCE,SELECTION,4490,256870
k,time,count
5,2046549,2860
5,226385,322
5,1841724,2541
5,418356,638
5,1315081,1915
5,996098,1598
5,827662,1279
5,557727,962
5,1208233,1909
5,1184402,1915
5,1697964,2552
5,827998,1277
5,1969995,2863
5,1508883,2226
5,1017431,1597
5,221040,322
5,437575,640
5,1137161,1915
5,989241,1597
5,1881843,2867
5,220917,322
5,843324,1279
5,1748089,2547
5,4560437,6992
5,236816,322
5,1004736,1591
5,603799,961
5,435990,641
5,1191779,1913
5,1036072,1597
5,973249,1598
5,221076,322
5,1159753,1915
5,1935056,2870
5,236611,322
5,3321008,4777
5,564737,960
5,3326706,4769
5,8040808,12070
5,470869,640
5,1507961,2226
5,432276,642
5,429471,642
5,469730,643
5,4991705,7950
5,607010,961
5,1052209,1597
5,980182,1597
5,1502849,2229
5,2391354,3823
5,1013570,1598
5,1655873,2224
5,628772,960
5,627303,955
5,3571362,5094
5,1884006,2868
5,467210,638
5,471807,638
5,447342,643
5,412418,638
5,424744,643
5,3366953,4777
5,1780152,2543
5,4916989,7631
5,710751,955
5,2959641,4134
5,1890696,2870
5,238183,322
5,893316,1274
5,1005658,1600
5,4229873,6681
5,473276,640
5,427384,640
5,622464,955
5,233395,323
5,1187773,1912
5,2491525,3821
5,625585,955
5,442346,640
5,933630,1270
5,1609760,2224
5,2496170,3816
5,465143,640
5,257143,322
5,1044915,1590
5,1069113,1598
5,1044156,1591
5,1079491,1588
5,855598,1273
5,3168842,4127
5,2131022,3190
5,1190385,1916
5,885755,1280
5,927132,1275
5,256718,322
5,1064035,1589
5,607539,960
5,1242048,1916
5,992450,1593
5,1571774,2231
5,626860,955
5,2135348,3503
5,443124,640
5,1565181,2231
5,2991640,4127
5,3520032,5085
5,427853,638
5,4155874,6349
5,5939560,8265
5,868148,1277
5,2447332,3820
5,591288,958
5,608289,955
5,231563,323
5,3638194,5088
5,609709,956
5,605831,957
5,2896219,4131
5,2420719,3814
5,1188888,1908
5,242443,322
5,467965,638
5,2005404,2870
5,5075554,7947
5,861212,1278
5,4001533,6043
5,1101175,1591
5,6313359,8903
5,1185822,1598
5,2175240,3182
5,4641007,6997
5,2390769,3823
5,1064185,1598
5,589799,962
5,1043015,1598
5,1738506,2545
5,1210373,1915
5,991508,1598
5,435745,643
5,991383,1597
5,416484,640
5,621385,957
5,429320,640
5,844585,1276
5,1092390,1593
5,4134583,6046
5,641956,960
5,4521092,6994
5,4281376,6367
5,1085084,1598
5,564632,960
5,969480,1275
5,585777,960
5,3343111,4769
5,874592,1276
5,1069049,1591
5,237199,322
5,425906,640
5,1121999,1597
5,631569,960
5,614123,960
5,1915714,2866
5,433844,640
5,1010850,1598
5,458303,639
5,590428,960
5,2123777,3178
5,3679601,5401
5,572655,960
5,4687648,6988
5,3934185,5734
5,4399693,6351
5,471306,640
5,3461376,5089
5,1053696,1595
5,2171369,3177
5,3363121,4769
5,1113715,1598
5,1564996,2235
5,590330,960
5,4361857,6361
5,3035532,4139
5,1888035,2862
5,1863418,2548
5,3770309,5413
5,2512713,3818
5,3419617,4777
5,1788596,2550
5,2916862,4134
5,1125740,1591
5,3158273,4461
5,1110968,1591
5,584073,961
5,876669,1276
5,1121586,1598
5,1117235,1590
5,1620949,2229
5,1128326,1595
5,624077,962
5,3902334,5395
5,874239,1280
5,1139484,1597
5,1196624,1912
5,840931,1279
5,1723638,2221
5,664428,958
5,435461,640
5,240837,322
5,576988,955
5,1798801,2545
5,1588565,2232
5,913204,1272
5,595091,954
5,605374,958
5,451396,640
5,601446,956
5,1634291,2226
5,1789971,2551
5,636306,958
5,2116932,3185
5,1552055,2233
5,1591909,2230
5,658298,954
5,598510,956
5,235006,323
5,3321940,4451
5,468387,641
5,987373,1270
5,420368,639
5,3139365,4133
5,2246867,3498
5,3613463,5088
5,672384,955
5,908886,1274
5,412482,641
5,2141990,3183
5,4112530,6045
5,2283507,3500
5,1655446,2551
5,262419,322
5,1109455,1595
5,238071,322
5,606713,961
5,873268,1278
5,229727,322
5,1599542,2229
5,5076435,7629
5,1843857,2552
5,459910,638
5,640489,955
5,4098715,5713
5,1959187,2868
5,2007112,3184
5,1933872,2870
5,466211,643
5,617778,955
5,723099,955
5,454222,643
5,636972,962
5,637802,955
5,1328413,1918
5,618315,956
5,1093065,1596
5,1937428,2860
5,857836,1277
5,495789,638
5,468349,642
5,1093661,1595
5,673121,956
5,1687799,2232
5,2210844,3185
5,1062426,1595
5,973446,1270
5,1268926,1915
5,668989,958
5,1145187,1592
5,1884833,2549
5,663362,960
5,1576536,2227
5,1597921,2226
5,1267712,1915
5,1982837,2865
5,2567602,3832
5,1261130,1915
5,497182,640
5,3112669,4139
5,1965454,2864
5,2028451,2863
5,472677,642
5,1648242,2230
5,1112875,1594
5,1085467,1593
5,1139251,1597
5,3724968,5091
5,908632,1277
5,622293,960
5,1365976,1909
5,437519,642
5,511047,640
5,438381,642
5,658787,958
5,2412433,3500
5,2320193,3500
5,2265493,3498
5,3126069,4136
5,3908100,5730
5,461995,640
5,4566617,6671
5,2283318,3502
5,1514289,2230
5,226914,322
5,1122424,1598
5,1184970,1915
5,3266741,4454
5,245639,322
5,1069750,1591
5,3850690,5399
5,478280,638
5,1827920,2544
5,3653451,5088
5,3332789,4779
5,1080585,1593
5,252445,322
5,1302060,1910
5,1114699,1592
5,446100,640
5,652499,955
5,1235013,1913
5,2598518,3817
5,457988,642
5,1019251,1594
5,2393285,3504
5,1131141,1589
5,1255057,1915
5,1552386,2236
5,1889469,2871
5,7743468,10490
5,3866476,5406
5,4324034,6366
5,7808263,11119
5,651064,961
5,1338117,1910
5,9806554,14608
5,994835,1276
5,267198,322
5,460750,639
5,261681,323
5,1693736,2235
5,652550,960
5,954576,1277
5,227587,322
5,1158818,1589
5,1114404,1589
5,505287,638
5,1825539,2547
5,284296,322
5,252415,322
5,1093893,1593
5,1283524,1912
5,3360415,4447
5,957976,1275
5,494457,640
5,509094,640
5,450516,643
5,596822,955
5,1120824,1592
5,236726,322
5,1132303,1595
5,1984123,2860
5,239949,322
5,473306,640
5,488148,638
5,242284,322
5,463884,640
5,1094343,1593
5,924675,1275
5,1844907,2551
5,240446,322
5,2294938,3498
5,1137253,1589
5,491803,640
5,1609960,2232
5,1083978,1592
5,1793456,2550
5,3424351,4444
5,3246236,4448
5,461620,641
5,1970737,2868
5,445173,641
5,701385,957
5,438719,641
5,2513692,3809
5,496211,638
5,476392,640
5,1233333,1918
5,894382,1279
5,675815,958
5,3285192,4446
5,1244092,1911
5,520893,639
5,452640,641
5,476333,640
5,1063662,1599
5,879120,1276
5,1211680,1919
5,618137,962
5,1659960,2228
5,493261,638
5,242536,322
5,481891,640
5,499640,643
5,1816818,2548
5,494902,639
5,661984,959
5,596473,959
5,475947,642
5,6762552,8899
5,5138935,7628
5,2466807,3816
5,4490639,6683
5,673121,955
5,476645,638
