VPTREE,EUCLIDEANDISTANCE,SSS,4490,308836
k,time,count
5,2126637,2867
5,1310306,1917
5,6933999,8574
5,493174,639
5,498417,641
5,418060,641
5,473748,638
5,454495,640
5,1302537,1905
5,1699586,2223
5,2072980,2859
5,624149,956
5,8304072,11113
5,4119705,5730
5,2194278,2859
5,649015,956
5,245939,322
5,225221,323
5,621012,959
5,4287238,6043
5,491490,638
5,447328,638
5,8140858,10790
5,5030626,6997
5,505592,638
5,624923,960
5,456231,641
5,434052,638
5,1847947,2552
5,647329,956
5,427144,641
5,455135,638
5,626725,956
5,2002322,2871
5,473102,641
5,1635438,2225
5,463541,641
5,4295306,6043
5,14409776,16508
5,729577,960
5,2332757,3503
5,967374,1278
5,629492,959
5,640903,963
5,5159240,7296
5,923285,1275
5,248636,323
5,895370,1275
5,249771,322
5,4847245,6998
5,473060,641
5,6880620,8894
5,1172923,1592
5,637803,955
5,4870699,6675
5,930974,1276
5,259350,322
5,612758,960
5,1111041,1596
5,1955231,2871
5,917363,1279
5,4232210,6038
5,647924,957
5,7862045,10477
5,971800,1274
5,4549708,6355
5,3762588,5086
5,925847,1279
5,1859535,2550
5,2573452,3825
5,4838991,6674
5,247473,323
5,433119,638
5,222130,323
5,222788,323
5,3172856,4137
5,5174845,7309
5,630986,956
5,221541,323
5,1156638,1589
5,1830324,2546
5,4216750,6039
5,245257,323
5,2140551,3188
5,885686,1275
5,4623449,6686
5,1883404,2551
5,1340322,1909
5,1833975,2540
5,10378638,14277
5,3748173,4767
5,1731976,2234
5,679648,957
5,1310707,1912
5,938407,1272
5,3722761,4776
5,1815282,2547
5,1368049,1917
5,1726087,2233
5,485494,639
5,1299386,1909
5,2546682,3815
5,637417,956
5,1905371,2551
5,4958016,6989
5,4598186,6681
5,1849747,2550
5,9314721,12058
5,4988972,6993
5,498826,645
5,3837541,5092
5,1392134,1911
5,1354446,1904
5,256185,322
5,4644570,6355
5,494460,638
5,501085,638
5,1365420,1905
5,5082353,7311
5,266763,322
5,689613,959
5,3294202,4134
5,3519830,4451
5,7639122,9848
5,689829,958
5,5288011,7304
5,2640786,3815
5,7869254,10474
5,609395,641
5,989534,1272
5,7685937,9844
5,1383973,1903
5,944501,1274
5,475914,638
5,472018,641
5,2225796,3186
5,496663,641
5,438534,641
5,492288,638
5,446450,638
5,448924,638
5,258021,322
5,235893,323
5,460885,641
5,1710663,2238
5,7467539,9526
5,537723,638
5,7878682,10162
5,4927119,6670
5,486887,638
5,463318,641
5,1301635,1918
5,491269,638
5,1674108,2222
5,245870,322
5,260302,322
5,511374,641
5,244516,323
5,2148444,2868
5,2444727,3502
5,954434,1277
5,1134172,1589
5,454973,638
5,244442,323
5,1152679,1593
5,1756371,2228
5,5154769,7307
5,2372051,3179
5,255723,322
5,6730772,8571
5,4429302,6039
5,10001499,13653
5,272820,322
5,2453117,3488
5,1150713,1592
5,4961333,6993
5,6837136,8566
5,521863,638
5,958301,1274
5,473094,638
5,8586068,11430
5,4572489,6040
5,2349312,3184
5,4473400,6046
5,4572356,6041
5,1816480,2229
5,5630670,7941
5,987686,1274
5,1344673,1906
5,1350146,1917
5,3319639,4136
5,981016,1276
5,900450,1276
5,1314367,1916
5,509627,641
5,4828207,6675
5,1949826,2554
5,7760615,10172
5,2189446,2867
5,9614711,12695
5,1807383,2235
5,512144,641
5,486480,638
5,465437,638
5,1968882,2541
5,705469,963
5,239575,323
5,1395141,1906
5,1753484,2225
5,256557,322
5,1924016,2555
5,1204562,1590
5,1935121,2540
5,1850999,2550
5,679228,956
5,1292336,1907
5,4066818,5406
5,2286534,3180
5,652209,956
5,6477084,8257
5,2101236,2544
5,3461426,4442
5,696453,959
5,1720891,2224
5,934907,1272
5,3681697,4767
5,695821,957
5,920249,1274
5,477687,640
5,5076645,6994
5,3976303,5090
5,7165245,8888
5,268893,323
5,4456860,6038
5,2533881,3498
5,2632405,3819
5,7736031,9840
5,2383050,3188
5,996020,1277
5,670012,957
5,264799,322
5,616783,960
5,971557,1274
5,881284,1274
5,488250,644
5,1182671,1590
5,4981795,6985
5,2282259,3185
5,3421878,4452
5,1182891,1589
5,9182563,12064
5,3571029,4458
5,1252478,1595
